player_name,nation,position,team_name,league,age,matches_played,starts,minutes_played,goals,assists,penalties_scored,yellow_cards,red_cards,expected_goals,expected_assists
Federico Gatti,it ITA,DF,Juventus,it Serie A,26.0,30,26,2195,1,0,0,2,0,2.5,0.5
Gavi,es ESP,"MF,FW",Barcelona,es La Liga,19.0,26,14,1085,1,1,0,4,0,0.9,1.6
Paulo Gazzaniga,ar ARG,GK,Girona,es La Liga,32.0,36,36,3195,0,0,0,4,0,0.0,0.0
Jean-Philippe Gbamin,ci CIV,MF,Nantes,fr Ligue 1,28.0,14,2,216,0,0,0,1,0,0.5,0.0
Mory Gbane,ci CIV,"DF,MF",Reims,fr Ligue 1,23.0,13,13,1125,0,1,0,2,0,0.2,0.6
Yann Gboho,fr FRA,"MF,FW",Toulouse,fr Ligue 1,23.0,31,27,2333,5,4,0,2,0,5.4,3.5
David de Gea,es ESP,GK,Fiorentina,it Serie A,33.0,34,34,3060,0,1,0,1,0,0.0,0.4
Viggo Gebel,de GER,MF,RB Leipzig,de Bundesliga,16.0,1,0,14,0,0,0,0,0,0.0,0.0
Lutsharel Geertruida,nl NED,DF,RB Leipzig,de Bundesliga,24.0,24,17,1557,1,0,0,2,0,1.1,1.0
Dennis Geiger,de GER,"MF,FW",Hoffenheim,de Bundesliga,26.0,20,7,734,0,0,0,4,0,0.2,0.5
Valentin Gendrey,fr FRA,DF,Lecce,it Serie A,24.0,2,2,180,0,0,0,0,0,0.2,0.1
Valentin Gendrey,fr FRA,DF,Hoffenheim,de Bundesliga,24.0,22,14,1414,1,1,0,1,0,1.1,1.8
Denis Genreau,au AUS,MF,Toulouse,fr Ligue 1,25.0,8,2,222,0,0,0,0,0,0.3,0.5
Tyrique George,eng ENG,FW,Chelsea,eng Premier League,18.0,8,1,183,1,1,0,1,0,0.2,0.7
Yannick Gerhardt,de GER,"MF,DF",Wolfsburg,de Bundesliga,30.0,29,15,1518,1,1,0,5,1,1.2,0.2
Max Geschwill,de GER,DF,Holstein Kiel,de Bundesliga,23.0,19,13,1282,1,2,0,2,0,0.9,0.8
Daniele Ghilardi,it ITA,DF,Hellas Verona,it Serie A,21.0,24,21,2029,0,0,0,7,1,0.6,0.2
Lautaro Gianetti,ar ARG,DF,Udinese,it Serie A,30.0,15,11,878,1,0,0,4,0,0.1,0.1
Dimitris Giannoulis,gr GRE,DF,Augsburg,de Bundesliga,28.0,31,31,2650,1,4,0,8,0,1.1,4.2
Morgan Gibbs-White,eng ENG,MF,Nott'ham Forest,eng Premier League,24.0,34,34,2803,7,8,0,11,1,6.3,5.0
Samuel Gigot,fr FRA,DF,Lazio,it Serie A,30.0,15,7,683,2,0,0,2,0,1.3,0.0
Armin Gigovic,ba BIH,MF,Holstein Kiel,de Bundesliga,22.0,31,23,1895,5,1,0,5,0,1.9,2.1
Bryan Gil,es ESP,"FW,MF",Girona,es La Liga,23.0,25,21,1721,3,3,0,4,0,2.3,2.9
Mario Gila,es ESP,DF,Lazio,it Serie A,23.0,32,31,2741,1,0,0,8,0,1.1,0.6
Billy Gilmour,sct SCO,MF,Brighton,eng Premier League,23.0,2,1,98,0,0,0,0,0,0.1,0.0
Billy Gilmour,sct SCO,MF,Napoli,it Serie A,23.0,26,13,1177,0,1,0,0,0,0.5,1.8
Benedikt Gimber,de GER,DF,Heidenheim,de Bundesliga,27.0,32,32,2671,0,0,0,9,0,0.7,0.3
Santiago Giménez,mx MEX,FW,Milan,it Serie A,23.0,14,7,669,5,2,0,3,1,4.8,0.9
Gvidas Gineitis,lt LTU,MF,Torino,it Serie A,20.0,30,15,1430,3,1,0,5,0,1.3,2.0
Matthias Ginter,de GER,DF,Freiburg,de Bundesliga,30.0,32,28,2561,2,1,0,5,0,2.8,0.7
Jamie Gittens,eng ENG,"FW,MF",Dortmund,de Bundesliga,19.0,32,21,1776,8,3,0,4,0,3.6,2.5
Serge Gnabry,de GER,"FW,MF",Bayern Munich,de Bundesliga,29.0,27,13,1242,7,5,0,0,0,7.5,5.1
Ben Godfrey,eng ENG,DF,Ipswich Town,eng Premier League,26.0,3,2,159,0,0,0,1,0,0.0,0.0
Ben Godfrey,eng ENG,DF,Atalanta,it Serie A,26.0,1,0,23,0,0,0,0,0,0.0,0.0
Martial Godo,eng ENG,"FW,DF",Fulham,eng Premier League,21.0,2,0,24,0,0,0,0,0,0.0,0.1
Saba Goglichidze,ge GEO,DF,Empoli,it Serie A,20.0,33,29,2539,0,1,0,3,1,0.3,0.3
Edoardo Goldaniga,it ITA,DF,Como,it Serie A,30.0,32,28,2532,1,0,0,12,1,2.5,0.3
Michael Golding,eng ENG,MF,Leicester City,eng Premier League,18.0,1,0,1,0,0,0,0,0,0.0,0.0
Pierluigi Gollini,it ITA,GK,Genoa,it Serie A,29.0,7,7,630,0,0,0,1,0,0.0,0.0
Aleksandr Golovin,ru RUS,"MF,FW",Monaco,fr Ligue 1,28.0,19,13,1153,3,0,0,1,0,2.3,2.4
André Gomes,pt POR,MF,Lille,fr Ligue 1,31.0,20,16,1276,0,0,0,3,0,0.5,0.7
Angel Gomes,eng ENG,MF,Lille,fr Ligue 1,23.0,14,10,736,1,1,0,1,0,1.7,2.1
João Gomes,br BRA,MF,Wolves,eng Premier League,23.0,36,35,2974,3,1,0,11,1,2.9,1.2
